edgeID,startNode,endNode
dPARK00101_dEXIT00101,dEXIT00101,dPARK00101
dPARK00201_dEXIT00101,dEXIT00101,dPARK00201
dPARK00301_dEXIT00101,dEXIT00101,dPARK00301
dPARK00401_dEXIT00101,dEXIT00101,dPARK00401
dPARK00501_dEXIT00101,dEXIT00101,dPARK00501
dPARK00601_dEXIT00101,dEXIT00101,dPARK00601
dPARK00701_dEXIT00101,dEXIT00101,dPARK00701
dPARK00801_dEXIT00101,dEXIT00101,dPARK00801
dPARK00901_dEXIT00101,dEXIT00101,dPARK00901
dPARK01001_dEXIT00101,dEXIT00101,dPARK01001
dPARK01101_dEXIT00201,dEXIT00201,dPARK01101
dPARK01201_dEXIT00201,dEXIT00201,dPARK01201
dPARK01301_dEXIT00201,dEXIT00201,dPARK01301
dPARK01401_dEXIT00201,dEXIT00201,dPARK01401
dPARK01501_dEXIT00201,dEXIT00201,dPARK01501
dPARK01601_dEXIT00201,dEXIT00201,dPARK01601
dPARK01701_dEXIT00201,dEXIT00201,dPARK01701
dPARK01801_dEXIT00201,dEXIT00201,dPARK01801
dPARK01901_dEXIT00201,dEXIT00201,dPARK01901
dPARK02001_dEXIT00201,dEXIT00201,dPARK02001
dPARK02101_dEXIT00201,dEXIT00201,dPARK02101
dPARK02201_dEXIT00201,dEXIT00201,dPARK02201
dPARK02301_dEXIT00201,dEXIT00201,dPARK02301
dPARK02401_dEXIT00201,dEXIT00201,dPARK02401
dPARK02501_dEXIT00201,dEXIT00201,dPARK02501
dWALK00101_dWALK00201,dWALK00101,dWALK00201
dWALK00201_dWALK00301,dWALK00201,dWALK00301
dWALK00301_dWALK02001,dWALK00301,dWALK02001
dWALK00301_dWALK00401,dWALK00301,dWALK00401
dWALK00401_dWALK01101,dWALK00401,dWALK01101
dWALK00401_dWALK00501,dWALK00401,dWALK00501
dWALK01101_dWALK01601,dWALK01101,dWALK01601
dWALK00501_dWALK00601,dWALK00501,dWALK00601
dWALK00501_dWALK01001,dWALK00501,dWALK01001
dWALK01001_dWALK01101,dWALK01001,dWALK01101
dWALK01001_dWALK00901,dWALK01001,dWALK00901
dWALK00901_dWALK00801,dWALK00901,dWALK00801
dWALK00801_dWALK00701,dWALK00801,dWALK00701
dWALK01601_dWALK01701,dWALK01601,dWALK01701
dWALK01001_dWALK01201,dWALK01001,dWALK01201
dWALK01201_dWALK01301,dWALK01201,dWALK01301
dWALK01201_dWALK01501,dWALK01201,dWALK01501
dWALK01501_dWALK01401,dWALK01501,dWALK01401
dWALK01401_dWALK01301,dWALK01401,dWALK01301
dWALK01301_dWALK01601,dWALK01301,dWALK01601
dWALK01301_dWALK01801,dWALK01301,dWALK01801
dWALK01801_dWALK01701,dWALK01801,dWALK01701
